,Unnamed: 0,Glycan,ID,Immunogenic,Link,species,class,domain,family,genus,kingdom,order,phylum
32,32,Fuc(a1-2)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-6)[GlcNAc(b1-3)]GalNAc,GBID857,No,O,Homo sapiens,Mammalia,Eukarya,Hominidae,Homo,Animalia,Primates,Chordata
33,33,GalOS(b1-4)GlcNAc(b1-2)Man(a1-3)[GalOS(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,GBID1008,No,None,Homo sapiens,Mammalia,Eukarya,Hominidae,Homo,Animalia,Primates,Chordata
34,34,GalOS(b1-4)GlcNAc(b1-3)Gal(b1-3)[NeuNAc(a2-6)]GalNAc,GBID1021,No,O,Homo sapiens,Mammalia,Eukarya,Hominidae,Homo,Animalia,Primates,Chordata
35,35,Fuc(a1-2)[Gal(a1-3)]Gal(b1-3)[GlcNAcOS(b1-6)]GalNAc,GBID1029,No,None,Homo sapiens,Mammalia,Eukarya,Hominidae,Homo,Animalia,Primates,Chordata
36,36,Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-6)[NeuNAc(a2-3)Gal(b1-3)]GalNAc,GBID1035,No,O,Homo sapiens,Mammalia,Eukarya,Hominidae,Homo,Animalia,Primates,Chordata
37,37,Gal(b1-4)GlcNAc(b1-6)[GlcNAc(b1-3)Gal(b1-3)]GalNAc,GBID1041,No,O,Homo sapiens,Mammalia,Eukarya,Hominidae,Homo,Animalia,Primates,Chordata
38,38,Man(a1-3)[Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,GBID1148,Unknown,N,"Antheraea pernyi, Apis mellifera, AvianInfluenzaA Virus, Bombyx mori, Bos taurus, Caenorhabditis elegans, Drosophila melanogaster, Homo sapiens, HumanImmunoDeficiency Virus, Mamestra brassicae, Megathura crenulata, Mus musculus, Rattus norvegicus, Spodoptera frugiperda, Sus scrofa, Trichinella spiralis","Insecta, Virus, Insthoviricetes, Mammalia, Chromadorea, Gastropoda, Enoplea","Eukarya, Virus","Saturniidae, Apidae, Orthomyxoviridae, Bombycidae, Bovidae, Rhabditidae, Drosophilidae, Hominidae, Retroviridae, Noctuidae, Fissurellidae, Muridae, Suidae, Trichinellidae","Antheraea, Apis, Alphainfluenzavirus, Bombyx, Bos, Caenorhabditis, Drosophila, Homo, Lentivirus, Mamestra, Megathura, Mus, Rattus, Spodoptera, Sus, Trichinella","Animalia, Virus, Riboviria","Lepidoptera, Hymenoptera, Virus, Articulavirales, Artiodactyla, Rhabditida, Diptera, Primates, Ortervirales, Archaeogastropoda, Rodentia, Trichocephalida","Arthropoda, Virus, Negarnaviricota, Chordata, Nematoda, Mollusca"
39,39,NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[NeuNAc(a2-6)GalNAc(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,GBID1163,No,N,Homo sapiens,Mammalia,Eukarya,Hominidae,Homo,Animalia,Primates,Chordata
40,40,GlcNAc(b1-2)[GlcNAc(b1-6)]Man(a1-6)[GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc,GBID1181,Unknown,N,Homo sapiens,Mammalia,Eukarya,Hominidae,Homo,Animalia,Primates,Chordata
41,41,Gal(b1-4)GlcNAcOS(b1-6)[Gal(b1-3)]GalNAc,GBID1204,No,O,"Gallus gallus, Homo sapiens","Aves, Mammalia",Eukarya,"Phasianidae, Hominidae","Gallus, Homo",Animalia,"Galliformes, Primates",Chordata
42,42,Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,GBID1237,No,N,"Bos taurus, Homo sapiens, Mus musculus, Oryctolagus cuniculus, Rattus norvegicus, Sus scrofa, Tetronarce californica","Mammalia, Chondrichthyes",Eukarya,"Bovidae, Hominidae, Muridae, Leporidae, Suidae, Torpedinidae","Bos, Homo, Mus, Oryctolagus, Rattus, Sus, Tetronarce",Animalia,"Artiodactyla, Primates, Rodentia, Lagomorpha, Torpediniformes",Chordata
43,43,GalNAc(b1-4)[NeuNAc(a2-3)]Gal(b1-4)GlcNAc(b1-4)[GalOS(b1-4)GlcNAc(b1-2)]Man(a1-3)[NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,GBID1241,No,None,Homo sapiens,Mammalia,Eukarya,Hominidae,Homo,Animalia,Primates,Chordata
44,44,Fuc(a1-2)Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc,GBID1272,No,O,"Homo sapiens, Rattus norvegicus",Mammalia,Eukarya,"Hominidae, Muridae","Homo, Rattus",Animalia,"Primates, Rodentia",Chordata
45,45,Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)GalNAc,GBID1273,No,O,Homo sapiens,Mammalia,Eukarya,Hominidae,Homo,Animalia,Primates,Chordata
46,46,Fuc(a1-2)[GalNAc(a1-3)]Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc,GBID1353,No,N,Homo sapiens,Mammalia,Eukarya,Hominidae,Homo,Animalia,Primates,Chordata
47,47,Gal(b1-3)GlcNAc(b1-3)[Gal(b1-4)GlcNAc(b1-6)]Gal(b1-3)[Gal(b1-4)GlcNAc(b1-6)]GalNAc,GBID1399,No,O,Homo sapiens,Mammalia,Eukarya,Hominidae,Homo,Animalia,Primates,Chordata
48,48,Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAcOS(b1-6)[NeuNAc(a2-3)Gal(b1-3)]GalNAc,GBID1407,No,O,Homo sapiens,Mammalia,Eukarya,Hominidae,Homo,Animalia,Primates,Chordata
49,49,NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,GBID1409,No,N,"Homo sapiens, Mus musculus",Mammalia,Eukarya,"Hominidae, Muridae","Homo, Mus",Animalia,"Primates, Rodentia",Chordata
50,50,GlcNAc(b1-2)Man(a1-3)[Man(a1-6)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,GBID1429,No,N,"Bos taurus, Homo sapiens",Mammalia,Eukarya,"Bovidae, Hominidae","Bos, Homo",Animalia,"Artiodactyla, Primates",Chordata
51,51,NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,GBID1504,No,N,Homo sapiens,Mammalia,Eukarya,Hominidae,Homo,Animalia,Primates,Chordata
52,52,Fuc(a1-2)[GalNAc(a1-3)]Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc,GBID1511,No,O,Homo sapiens,Mammalia,Eukarya,Hominidae,Homo,Animalia,Primates,Chordata
53,53,Fuc(a1-4)[Gal(b1-3)]GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-6)[Fuc(a1-4)[Gal(b1-3)]GlcNAc(b1-3)Gal(b1-3)]GalNAc,GBID1553,No,O,Homo sapiens,Mammalia,Eukarya,Hominidae,Homo,Animalia,Primates,Chordata
54,54,NeuNAc(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)[NeuNAc(a2-6)]GalNAc,GBID1574,No,O,Homo sapiens,Mammalia,Eukarya,Hominidae,Homo,Animalia,Primates,Chordata
55,55,NeuNAc(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-6)[GlcNAc(b1-3)]GalNAc,GBID1579,No,O,Homo sapiens,Mammalia,Eukarya,Hominidae,Homo,Animalia,Primates,Chordata
56,56,Fuc(a1-2)[GalNAc(a1-3)]Gal(b1-3)[Gal(b1-4)GlcNAc(b1-6)]GalNAc,GBID1614,No,O,Homo sapiens,Mammalia,Eukarya,Hominidae,Homo,Animalia,Primates,Chordata
57,57,Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-6)[NeuNAc(a2-3)Gal(b1-3)]GalNAc,GBID1624,No,O,Homo sapiens,Mammalia,Eukarya,Hominidae,Homo,Animalia,Primates,Chordata
58,58,Gal(b1-3)GlcNAc(b1-3)[NeuNAc(a2-6)]GalNAc,GBID1642,No,O,Homo sapiens,Mammalia,Eukarya,Hominidae,Homo,Animalia,Primates,Chordata
59,59,NeuNAc(a2-6)Man(b1-4)GlcNAc,GBID1705,No,Free,Homo sapiens,Mammalia,Eukarya,Hominidae,Homo,Animalia,Primates,Chordata
60,60,NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Fuc(a1-3)[GalNAc(b1-4)]GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,GBID1734,No,N,Homo sapiens,Mammalia,Eukarya,Hominidae,Homo,Animalia,Primates,Chordata
61,61,ManOP(a1-2)Man(a1-6)[Man(a1-3)]Man(a1-6)[ManOP(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc,GBID1764,No,N,Homo sapiens,Mammalia,Eukarya,Hominidae,Homo,Animalia,Primates,Chordata
62,62,NeuNAc(a2-6)Gal(b1-3)GlcNAc(b1-3)[NeuNAc(a2-6)]Gal(b1-4)GlcNAc(b1-3)[NeuNAc(a2-6)]GalNAc,GBID1798,No,O,Homo sapiens,Mammalia,Eukarya,Hominidae,Homo,Animalia,Primates,Chordata
63,63,NeuNAc(a2-6)Gal(b1-4)GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-4)]Man(a1-3)[NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,GBID1810,No,N,Homo sapiens,Mammalia,Eukarya,Hominidae,Homo,Animalia,Primates,Chordata
64,64,Fuc(a1-3)[Gal(b1-4)]GlcNAc(b1-3)Gal(b1-3)[NeuNAc(a2-6)]GalNAc,GBID1849,No,O,Homo sapiens,Mammalia,Eukarya,Hominidae,Homo,Animalia,Primates,Chordata
65,65,Fuc(a1-2)Gal(b1-4)GlcNAcOS(b1-6)[Gal(b1-3)]GalNAc,GBID1861,No,O,Homo sapiens,Mammalia,Eukarya,Hominidae,Homo,Animalia,Primates,Chordata
66,66,Man(a1-3)Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc,GBID1905,Unknown,N,"Apis mellifera, Aspergillus awamori, Cricetulus griseus, Homo sapiens, Rattus norvegicus, Ricinus communis, Riftia pachyptila, Trypanosoma brucei","Sordariomycetes, Insecta, Eurotiomycetes, Dicotyledons, Mammalia, Polychaete, Kinetoplastida",Eukarya,"Hypocreaceae, Apidae, Trichocomaceae, Fabaceae, Cricetidae, Hominidae, Muridae, Euphorbiaceae, Siboglinidae, Trypanosomatidae","Acremonium, Apis, Aspergillus, Astragalus, Cricetulus, Homo, Rattus, Ricinus, Riftia, Trypanosoma","Fungi, Animalia, Plantae, Excavata","Hypocreales, Hymenoptera, Eurotiales, Fabales, Rodentia, Primates, Malpighiales, Canalipalpata, Trypanosomatida","Ascomycota, Arthropoda, Angiosperms, Chordata, Annelida, Euglenozoa"
67,67,NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-3)GalOS(b1-3)GalNAc,GBID1915,No,O,Homo sapiens,Mammalia,Eukarya,Hominidae,Homo,Animalia,Primates,Chordata
68,68,NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-2)[NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-4)]Man(a1-3)[NeuNAc(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,GBID1928,No,N,Homo sapiens,Mammalia,Eukarya,Hominidae,Homo,Animalia,Primates,Chordata
69,69,Gal(b1-4)GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-4)]Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,GBID1947,No,N,"Bos taurus, Desmodus rotundus, Homo sapiens, HumanImmunoDeficiency Virus, Mesocricetus auratus, MinkCellFocusForming Virus, Mus musculus, Rattus norvegicus, Sus scrofa","Mammalia, Virus","Eukarya, Virus","Bovidae, Phyllostomidae, Hominidae, Retroviridae, Cricetidae, Muridae, Suidae","Bos, Desmodus, Homo, Lentivirus, Mesocricetus, Gammaretrovirus, Mus, Rattus, Sus","Animalia, Virus","Artiodactyla, Chiroptera, Primates, Ortervirales, Rodentia","Chordata, Virus"
70,70,GalOS(b1-4)GlcNAc(b1-2)[NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-4)]Man(a1-3)[GalOS(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,GBID1990,No,None,Homo sapiens,Mammalia,Eukarya,Hominidae,Homo,Animalia,Primates,Chordata
