,Unnamed: 0,ID,Glycan,Link,Species,Immunogenic
10,10,GBID329,Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)Man(a1-6)][GlcNAc(b1-4)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,N,"AvianInfluenzaA Virus, Bos taurus, Canis lupus, Capra hircus, Cavia porcellus, Coturnix japonica, Gallus gallus, Homo sapiens, HumanImmunoDeficiency Virus, Marburg Virus, Mesocricetus auratus, Mus musculus, Oryctolagus cuniculus, Ovis aries, Rattus norvegicus, Sus scrofa",No
11,11,GBID332,Man(a1-3)[Man(a1-6)][Xyl(b1-2)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-3)]GlcNAc,N,"Acer pseudoplatanus, Actinidia chinensis, Allium cepa, Apium graveolens oulce, Arabidopsis thaliana, Arachis hypogaea, Armoracia rusticana, Artocarpus heterophyllus, Artocarpus intergrifolia, Asparagus officinalis, Bos taurus, Brassica oleracea, Brassica rapa, Caesalpinia pulcherrima, Citrus sinensis, Clerodendrum trichotomum, Cocos nucifera, Corylus avellana, Cucurbita pepo melopepo, Daucus carota, Erythrina corallodendron, Erythrina cristagalli, Fragaria ananassa, Ginkgo biloba, Glycine max, Homo sapiens, Juglans regia, Lotus tetragonolobus, Lupinus luteus, Malus domestica, Musa acuminata, Nicotiana tabacum, Olea europaea, Persea americana, Phaseolus vulgaris, Physcomitrella patens, Pinus pinea, Pistacia vera, Pisum sativum, Prunus dulcis sativa, Pyrus communis williams, Ricinus communis, Silene latifolia, Solanum lycopersicum, Solanum tuberosum, Synsepalum dulcificum, Vatairea macrocarpa, Vigna radiata radiata, Zingiber officinale",No
12,12,GBID371,NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-4)[NeuNAc(a2-6)Gal(b1-4)GlcNAc(b1-2)]Man(a1-3)[NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,N,Homo sapiens,No
13,13,GBID373,NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-4)[NeuNAc(a2-6)Gal(b1-4)GlcNAc(b1-2)]Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,N,"Bos taurus, Gallus gallus, Homo sapiens",No
14,14,GBID377,Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)[GlcNAc(b1-4)]Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc,N,Homo sapiens,No
15,15,GBID379,Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-3)GalNAc,O,Homo sapiens,No
16,16,GBID384,Gal(b1-4)GlcNAc(b1-3)[Gal(b1-4)GlcNAc(b1-6)]Gal(b1-3)[Gal(b1-4)GlcNAc(b1-6)]GalNAc,O,Homo sapiens,No
18,18,GBID420,Fuc(a1-3)[Gal(b1-4)]GlcNAcOS(b1-6)[NeuNAc(a2-3)Gal(b1-3)]GalNAc,O,Homo sapiens,No
19,19,GBID463,GalOS(b1-4)[Fuc(a1-3)]GlcNAc(b1-6)[NeuNAc(a2-3)Gal(b1-3)]GalNAc,O,Homo sapiens,No
20,20,GBID485,NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-6)[NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-2)]Man(a1-6)[NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-4)]Man(a1-3)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,N,Homo sapiens,No
21,21,GBID512,NeuNAc(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-4)[NeuNAc(a2-6)Gal(b1-4)GlcNAc(b1-2)]Man(a1-3)[NeuNAc(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,N,Homo sapiens,No
22,22,GBID531,NeuNAc(a2-6)GalNAc(b1-4)GlcNAc(b1-2)Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,N,Homo sapiens,No
23,23,GBID560,NeuNAc(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,N,"Cricetinae gen sp, Homo sapiens, Sus scrofa",No
24,24,GBID566,Gal(b1-4)GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-4)]Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,N,"Bos taurus, Homo sapiens, HumanImmunoDeficiency Virus, Mesocricetus auratus, MinkCellFocusForming Virus, Mus musculus, Rattus norvegicus",No
25,25,GBID582,Gal(b1-4)GlcNAc(b1-6)[GlcNAc(b1-3)]GalNAc,O,"Bos taurus, Homo sapiens",No
26,26,GBID594,Fuc(a1-4)GlcNAc(b1-6)Gal(b1-3)[Fuc(a1-4)GlcNAc(b1-6)]GalNAc,O,Homo sapiens,No
27,27,GBID601,NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-6)[NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-2)]Man(a1-6)[NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-2)[NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-4)]Man(a1-3)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,N,Homo sapiens,No
28,28,GBID631,Fuc(a1-3)[Gal(b1-4)]GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-2)]Man(a1-6)[Gal(b1-4)GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-4)]Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc,N,Homo sapiens,No
29,29,GBID649,NeuNAc(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-4)[NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-2)]Man(a1-3)[NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-2)[NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,N,Homo sapiens,No
30,30,GBID654,Fuc(a1-4)GlcNAc(b1-3)Gal(b1-3)[Fuc(a1-4)GlcNAc(b1-6)]GalNAc,O,Homo sapiens,No
31,32,GBID779,Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-4)Glc,Free,Homo sapiens,No
32,33,GBID857,Fuc(a1-2)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-6)[GlcNAc(b1-3)]GalNAc,O,Homo sapiens,No
33,34,GBID1008,GalOS(b1-4)GlcNAc(b1-2)Man(a1-3)[GalOS(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,None,Homo sapiens,No
34,35,GBID1021,GalOS(b1-4)GlcNAc(b1-3)Gal(b1-3)[NeuNAc(a2-6)]GalNAc,O,Homo sapiens,No
35,36,GBID1029,Fuc(a1-2)[Gal(a1-3)]Gal(b1-3)[GlcNAcOS(b1-6)]GalNAc,None,Homo sapiens,No
36,37,GBID1035,Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-6)[NeuNAc(a2-3)Gal(b1-3)]GalNAc,O,Homo sapiens,No
37,38,GBID1041,Gal(b1-4)GlcNAc(b1-6)[GlcNAc(b1-3)Gal(b1-3)]GalNAc,O,Homo sapiens,No
39,40,GBID1163,NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[NeuNAc(a2-6)GalNAc(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,N,Homo sapiens,No
41,42,GBID1204,Gal(b1-4)GlcNAcOS(b1-6)[Gal(b1-3)]GalNAc,O,"Gallus gallus, Homo sapiens",No
42,43,GBID1237,Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,N,"Bos taurus, Homo sapiens, Mus musculus, Oryctolagus cuniculus, Rattus norvegicus, Sus scrofa, Tetronarce californica",No
43,44,GBID1241,GalNAc(b1-4)[NeuNAc(a2-3)]Gal(b1-4)GlcNAc(b1-4)[GalOS(b1-4)GlcNAc(b1-2)]Man(a1-3)[NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,None,Homo sapiens,No
44,45,GBID1272,Fuc(a1-2)Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc,O,"Homo sapiens, Rattus norvegicus",No
45,46,GBID1273,Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)GalNAc,O,Homo sapiens,No
46,47,GBID1353,Fuc(a1-2)[GalNAc(a1-3)]Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc,N,Homo sapiens,No
47,48,GBID1399,Gal(b1-3)GlcNAc(b1-3)[Gal(b1-4)GlcNAc(b1-6)]Gal(b1-3)[Gal(b1-4)GlcNAc(b1-6)]GalNAc,O,Homo sapiens,No
48,49,GBID1407,Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAcOS(b1-6)[NeuNAc(a2-3)Gal(b1-3)]GalNAc,O,Homo sapiens,No
49,50,GBID1409,NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,N,"Homo sapiens, Mus musculus",No
50,51,GBID1429,GlcNAc(b1-2)Man(a1-3)[Man(a1-6)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,N,"Bos taurus, Homo sapiens",No
51,52,GBID1504,NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,N,Homo sapiens,No
52,53,GBID1511,Fuc(a1-2)[GalNAc(a1-3)]Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc,O,Homo sapiens,No
53,54,GBID1553,Fuc(a1-4)[Gal(b1-3)]GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-6)[Fuc(a1-4)[Gal(b1-3)]GlcNAc(b1-3)Gal(b1-3)]GalNAc,O,Homo sapiens,No
54,55,GBID1574,NeuNAc(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)[NeuNAc(a2-6)]GalNAc,O,Homo sapiens,No
55,56,GBID1579,NeuNAc(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-6)[GlcNAc(b1-3)]GalNAc,O,Homo sapiens,No
56,57,GBID1614,Fuc(a1-2)[GalNAc(a1-3)]Gal(b1-3)[Gal(b1-4)GlcNAc(b1-6)]GalNAc,O,Homo sapiens,No
57,58,GBID1624,Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-6)[NeuNAc(a2-3)Gal(b1-3)]GalNAc,O,Homo sapiens,No
58,59,GBID1642,Gal(b1-3)GlcNAc(b1-3)[NeuNAc(a2-6)]GalNAc,O,Homo sapiens,No
59,60,GBID1705,NeuNAc(a2-6)Man(b1-4)GlcNAc,Free,Homo sapiens,No
60,61,GBID1734,NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Fuc(a1-3)[GalNAc(b1-4)]GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,N,Homo sapiens,No
61,62,GBID1764,ManOP(a1-2)Man(a1-6)[Man(a1-3)]Man(a1-6)[ManOP(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc,N,Homo sapiens,No
62,63,GBID1798,NeuNAc(a2-6)Gal(b1-3)GlcNAc(b1-3)[NeuNAc(a2-6)]Gal(b1-4)GlcNAc(b1-3)[NeuNAc(a2-6)]GalNAc,O,Homo sapiens,No
63,64,GBID1810,NeuNAc(a2-6)Gal(b1-4)GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-4)]Man(a1-3)[NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,N,Homo sapiens,No
64,65,GBID1849,Fuc(a1-3)[Gal(b1-4)]GlcNAc(b1-3)Gal(b1-3)[NeuNAc(a2-6)]GalNAc,O,Homo sapiens,No
65,66,GBID1861,Fuc(a1-2)Gal(b1-4)GlcNAcOS(b1-6)[Gal(b1-3)]GalNAc,O,Homo sapiens,No
67,68,GBID1915,NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-3)GalOS(b1-3)GalNAc,O,Homo sapiens,No
68,69,GBID1928,NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-2)[NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-4)]Man(a1-3)[NeuNAc(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,N,Homo sapiens,No
69,70,GBID1947,Gal(b1-4)GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-4)]Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,N,"Bos taurus, Desmodus rotundus, Homo sapiens, HumanImmunoDeficiency Virus, Mesocricetus auratus, MinkCellFocusForming Virus, Mus musculus, Rattus norvegicus, Sus scrofa",No
70,71,GBID1990,GalOS(b1-4)GlcNAc(b1-2)[NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-4)]Man(a1-3)[GalOS(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,None,Homo sapiens,No
71,72,GBID2016,Gal(b1-4)GlcNAc(b1-3)[GlcNAc(b1-6)]Gal(b1-4)GlcNAc(b1-3)GalNAc,O,Homo sapiens,No
72,73,GBID2026,NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-2)[NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-4)]Man(a1-3)[NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,N,"Desmodus rotundus, Homo sapiens, Mus musculus, Rattus norvegicus",No
73,74,GBID2029,NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-4)[NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-2)]Man(a1-3)[NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-2)[NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,N,Homo sapiens,No
74,75,GBID2031,Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)GalNAc,O,Homo sapiens,No
75,76,GBID2042,Fuc(a1-2)[GalNAc(a1-3)]Gal(b1-3)GlcNAc(b1-3)GalNAc,O,Homo sapiens,No
76,77,GBID2048,Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc,N,Homo sapiens,No
77,78,GBID2057,NeuNAc(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc,N,Homo sapiens,No
78,79,GBID2059,Man(b1-2)Man(b1-2)Man(a1-2)Man(a1-2)Man,O,"Candida albicans, Clavispora lusitaniae, Homo sapiens, Komagataella pastoris",No
79,80,GBID2085,NeuNAc(a2-6)GalNAc(b1-4)GlcNAc(b1-2)Man(a1-3)[Fuc(a1-3)[GalNAc(b1-4)]GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,N,Homo sapiens,No
80,81,GBID2099,Fuc(a1-2)Gal(b1-4)GlcNAc(b1-4)[NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-2)]Man(a1-3)[NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,N,Homo sapiens,No
81,82,GBID2228,Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-4)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc,N,Homo sapiens,No
82,83,GBID2245,NeuNAc(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Fuc(a1-3)[Gal(b1-4)]GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,N,Homo sapiens,No
83,84,GBID2268,Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)[Fuc(a1-2)Gal(b1-4)GlcNAc(b1-6)]GalNAc,O,Homo sapiens,No
84,85,GBID2289,GalOS(b1-4)GlcNAc(b1-2)[GalOS(b1-4)GlcNAc(b1-4)]Man(a1-3)[NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-2)[NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,None,Homo sapiens,No
85,86,GBID2309,GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-4)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc,N,Homo sapiens,No
86,87,GBID2384,Fuc(a1-3)[Gal(b1-4)]GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,N,Homo sapiens,No
87,88,GBID2417,Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc,O,"Bos taurus, Bufo bufo, Gallus gallus, Homo sapiens, Marburg Virus, Mus musculus, Oryctolagus cuniculus, Rattus norvegicus, Schistosoma mansoni, Sus scrofa",No
88,89,GBID2439,Gal(b1-4)GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-6)]Man(a1-6)[GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,N,"Homo sapiens, Sus scrofa",No
89,90,GBID2458,Man(a1-2)Man(a1-3)[Man(a1-2)Man(a1-6)]Man(a1-6)[Man(a1-2)Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc,N,"Acremonium sp, Antheraea pernyi, Apis mellifera, Apis sp, Arabidopsis thaliana, Artemisia vulgaris, Aspergillus niger, Aspergillus oryzae, Astacus leptodactylus, Asterias rubens, AvianInfluenzaA Virus, Bombyx mori, Bos taurus, Caenorhabditis elegans, Canavalia ensiformis, Carica papaya, Cherax quadricarinatus, Columbia livia, Cryptococcus neoformans, Fusarium graminearum, Fusarium sp, Gallus gallus, Glycine max, Herpetomonas muscarum, Herpetomonas pessoai, Homo sapiens, HumanImmunoDeficiency Virus, Kinetoplastids, Leishmania adleri, Leishmania mexicana, Leptomonas samueli, Mamestra brassicae, MinkCellFocusForming Virus, Mus musculus, Nicotiana alata, Oryza sativa, Phaseolus lunatus, Phaseolus vulgaris, Physcomitrella patens, Ricinus communis, Riftia pachyptila, Saccharomyces cerevisiae, Saccharomyces uvarum, Schistosoma mansoni, Schizosaccharomyces pombe, SpleenFocusForming Virus, Spodoptera frugiperda, Strigomonas culicis, Tetronarce californica, Trypanosoma brucei, Trypanosoma conorhini, Trypanosoma cruzi, Trypanosoma dionisii, Unio elongatus, Yarrowia lipolytica",No
90,91,GBID2460,Fuc(a1-3)[Gal(b1-4)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-3)GalNAc,O,Homo sapiens,No
91,92,GBID2468,Gal(b1-3)GlcNAc(b1-3)[Gal(b1-4)GlcNAc(b1-6)]Gal(b1-3)GalNAc,O,Homo sapiens,No
92,93,GBID2563,NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-6)[NeuNAc(a2-3)Gal(b1-3)]GalNAc,O,"Equus caballus, Homo sapiens",No
93,94,GBID2594,Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc,O,Homo sapiens,No
94,95,GBID2615,NeuNAc(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[NeuNAc(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,N,"Bos taurus, Equus caballus, Gallus gallus, Homo sapiens, Mus musculus, Rattus norvegicus, Sus scrofa",No
95,96,GBID2628,Fuc(a1-3)[Gal(b1-4)]GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[NeuNAc(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,N,Homo sapiens,No
96,97,GBID2655,Fuc(a1-3)[Gal(b1-4)]GlcNAc(b1-3)Gal(b1-3)GalNAc,O,Homo sapiens,No
97,98,GBID2656,GalNAcOS(b1-4)GlcNAc(b1-2)Man(a1-3)[GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,N,"Homo sapiens, Ovis aries, Sus scrofa",No
98,99,GBID2662,NeuNAc(a2-3)Gal(b1-3)[Fuc(a1-4)]GlcNAc,Free,Homo sapiens,No
99,100,GBID2737,NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-6)[NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-2)]Man(a1-6)[Gal(b1-4)GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-4)]Man(a1-3)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,N,Homo sapiens,No
100,101,GBID2780,Fuc(a1-2)[GalNAc(a1-3)]Gal(b1-3)GlcNAc(b1-3)[NeuNAc(a2-6)]Gal(b1-4)GlcNAc(b1-3)[NeuNAc(a2-6)]GalNAc,O,Homo sapiens,No
101,102,GBID2794,GlcOSA(b1-3)Gal(b1-3)[NeuNAc(a2-6)]Gal(b1-4)Xyl,O,Homo sapiens,No
102,103,GBID2802,NeuNAc(a2-3)Man(b1-4)Glc,Free,Homo sapiens,No
103,104,GBID2820,GalOS(b1-4)GlcNAc(b1-4)[NeuNAc(a2-6)Gal(b1-4)GlcNAc(b1-2)]Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,N,Homo sapiens,No
105,106,GBID2890,NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[NeuNAc(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc,N,"Bos taurus, Homo sapiens, MurineLeukemia Virus, Mus musculus",No
106,107,GBID2896,Gal(b1-4)GlcNAc(b1-6)Man(a1-6)Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,N,Homo sapiens,No
107,108,GBID2906,Man(a1-2)Man(a1-6)[Man(a1-3)]Man(a1-6)[GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc,N,Homo sapiens,No
108,109,GBID2907,GalOS(b1-4)GlcNAc(b1-4)[NeuNAc(a2-6)Gal(b1-4)GlcNAc(b1-2)]Man(a1-3)[NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,N,Homo sapiens,No
109,110,GBID2927,GlcNAc(b1-3)Gal(b1-3)[NeuNAc(a2-6)]GalNAc,O,"Bos taurus, Homo sapiens",No
